id_libro,Unidad,Titulo,Autor,Clasificacion
53058,1,TECNOLOGiA DE LA REFRIGERACION Y AIRE ACONDICIONAD,"WHITMAN, WILLIAM C.",TP 496 W577
51311,1,MARKS: MANUAL DEL INGENIERO MECANICO:REVISADO POR,,TJ 151 M294
51336,1,EMPRESA Y ADMINISTRACION,"VAZQUEZ BLOMER, BEATRIZ",HD 37.E76 V393
51313,1,INTRODUCCION A LA TEORiA DE PROBABILIDADES Y SUS A,"FELLER, WILLIAM",QA 273.A5 F318
53032,1,FiSICA PARA CIENCIAS E INGENIERiA 1,"SERWAY, RAYMOND A.",QC 23 S491
5308,1,SISTEMAS DE INFORMACION PARA LA GERENCIA,"MCKEEVER, JAMES M.",T 58.6 M154
53050,1,INTRODUCCION A LA INFORMATICA : MODELOS DE COMPUTO,"LLAMAS BELLO, CESAR",QA 76 L791
53059,1,TECNOLOGiA DE LA REFRIGERACION Y AIRE ACONDICIONAD,"WHITMAN, WILLIAM C.",TP 496 W577
53051,1,ADMINISTRACION EXITOSA DE PROYECTOS,"GIDO, JACK",HD 69.P75 G453
53057,1,"NEUMATICA, HIDRAULICA Y ELECTRICIDAD APLICADA","ROLDAN VILORIA, JOSE",TJ 985 R744
53056,1,"NEUMATICA, HIDRAULICA Y ELECTRICIDAD APLICADA","ROLDAN VILORIA, JOSE",TJ 985 R744
51337,1,ANALISIS Y OPERACION DE SISTEMAS DE ENERGIA ELECTR,"GOMEZ EXPOSITO, ANTONIO",TK 1001 G633
53054,1,INVESTIGACION DE OPERACIONES,"WINSTON, WAYNE L.",T 57.6 W677
51312,1,CENTRALES ELECTRICAS,"SANTO POTESS, E.",TK 1191 S237
5341,1,HISTORIA DE MEXICO,,F 1208 H673
5339,1,HISTORIA DE MEXICO,,F 1208 H673
51200,1,PROCESOS DE DESCONTAMINACION DE AGUAS : CALCULOS A,"GIL RODRiGUEZ, MANUEL",TD 434 G463
53329,1,CULTURE OF ANIMAL CELLS : A MANUAL OF BASIC TECNIQ,"FRESHNEY, R. IAN",QH 585 F885
512,1,INTRODUCCION AL DISENO DE SISTEMAS DIGITALES. UN E,"UYEMURA, JOHN P.",TK 7874.75 U94
51229,1,FUNDAMENTOS DE INVESTIGACION,"LEON ZAVALA, RAMIRO",HD 30.4 L579
5340,1,HISTORIA DE MEXICO,,F 1208 H673
51193,1,DISENO PRACTICO CON MICROCONTROLADORES PARA TODOS.,"ANGULO, JOSE MA.",TJ 223.M53 A594
51192,1,PRONTUARIO DE RESISTENCIA DE LOS MATERIALES,"GOULET, JEAN",TA 407.6 G698
53034,1,FUNDAMENTOS DE FiSICA,"SERWAY, RAYMOND",QC 21.3 S491
51190,1,DISENO EN INGENIERiA MECANICA DE SIGLEY,"BUDYNAS, RICHARD G.",TJ 230 B927
51220,1,LA ENCICLOPEDIA,,AE 61 E56
51188,1,SECURE SOFTWARE DESIGN,"RICHARDSON, THEODOR",QA 76.76.D47 R521
51180,1,"ENERGiA MEDIANTE VAPOR, AIRE O GAS","SEVERNS, W.H.",TJ 280 S498
5342,1,HISTORIA DE MEXICO,,F 1208 H673
51175,1,ADMINISTRACION DE RECURSOS HUMANOS,"MONDY, R. WAYNE",HF 5549 M741
51174,1,DICCIONARIO GENERAL ESPANOL-INGLES,"GARCiA, RAMON",PE 1625 G216
5343,1,HISTORIA DE MEXICO,,F 1208 H673
5117,1,VINCULACION ENTRE LOS SECTORES ACADEMICO Y PRODU,ANUIES,LB 2331.65 A637
52167,1,GUiA PARA REDACTAR TRABAJOS PROFESIONALES,"VARGAS LEYVA, MARiA RUTH",LB 2369 V297
51191,1,ADMINISTRACION DE RECURSOS HUMANOS,"MONDY, R. WAYNE",HF 5549 M741
53031,1,FISICA : PARA CIENCIAS E INGENIERIAS,"SERWAY, RAYMOND",QC 23 S491
53043,1,INSTALACIONES ELECTRICAS DE BAJA TENSION,"MORENO ALFONDO, NARCISO",TK 3201 M843
53022,1,INGENIERiA Y CIENCIAS AMBIENTALES,"DAVIS, MACKENZIE L.",TD 145 D249
53030,1,FISICA : PARA CIENCIAS E INGENIERIAS,"SERWAY, RAYMOND",QC 23 S491
53023,1,FiSICA PARA INGENIERiA Y CIENCIAS,"GETTYS, W. EDWARD",QC 23 G394
53029,1,FISICA : PARA CIENCIAS E INGENIERIAS,"SERWAY, RAYMOND",QC 23 S491
53028,1,FiSICA MODERNA,"SERWAY, RAYMOND",QC 23.2 S491
53027,1,ELECTRICIDAD Y MAGNETISMO,"SERWAY, RAYMOND",QC 753.2 S491
53026,1,INTRODUCCION A LOS SISTEMAS DE CONTROL : CONCEPTOS,"HERNANDEZ GAVINO, RICARDO",TJ 213 H557
51213,1,ADMINISTRACION DE RECURSOS HUMANOS : ENFOQUE LATIN,"DESSLER, GARY",HF 5549 D475
53009,1,CURSO DE MECANICA TECNICA,,TA 350.7 C977
5338,1,HISTORIA DE MEXICO,,F 1208 H673
51198,1,PLANTEO Y RESOLUCION DE PROBLEMAS,"TORRES TORIJA, MANUEL",HD 30.29
51226,1,LA ENCICLOPEDIA,,AE 61 E56
51225,1,LA ENCICLOPEDIA,,AE 61 E56
5337,1,HISTORIA DE MEXICO,,F 1208 H673
51224,1,LA ENCICLOPEDIA,,AE 61 E56
51223,1,LA ENCICLOPEDIA,,AE 61 E56
51222,1,LA ENCICLOPEDIA,,AE 61 E56
51221,1,LA ENCICLOPEDIA,,AE 61 E56
53033,1,FISICA : PARA CIENCIAS E INGENIERIAS,"SERWAY, RAYMOND",QC 23 S491
53025,1,CODIGO CIVIL DE BAJA CALIFORNIA,"BAJA CALIFORNIA, LEYES, CODIGOS Y DECRETOS",KGF 8311 B165
51352,1,EL PROCESO DE DISENO EN INGENIERIA: COMO DESARROLL,"DYM, CLIVE L.",TA 174 D619
51362,1,INTRODUCCION AL ANALISIS SENSORIAL DE LOS ALIMENTO,"SANCHO, JOSEP",TX 545 S211
51361,1,INTRODUCCION AL ANALISIS SENSORIAL DE LOS ALIMENTO,"SANCHO, JOSEP",TX 545 S211
51360,1,"QUiMICA PARA EL DESARROLLO: EJERCICIOS, INVESTIGAC",,QD 40 Q6
51359,1,CALCULOS QUiMICOS PARA LA PREPARACION DE SOLUCIONE,"SANTILLAN MARQUEZ, JOSE LUIS",QD 541 S 235
51358,1,CALCULOS QUiMICOS PARA LA PREPARACION DE SOLUCIONE,"SANTILLAN MARQUEZ, JOSE LUIS",QD 541 S 235
51357,1,TERMODINAMICA,"FAIRES, VIRGIL MORING",QC 311 F165
51356,1,TERMODINAMICA,"FAIRES, VIRGIL MORING",QC 311 F165
5309,1,PROCESOS DE TRANSFERENCIA DE CALOR,"KERN, DONALD Q.",QC 320 K39
53004,1,ALGEBRA LINEAL Y SUS APLICACIONES,"LAY, DAVID C.",QA 184 L426
5137,1,CONTROL DE CALIDAD DEL CONCRETO (ACI 704-4),,TA 683.2 C764
51365,1,MEASURING PROCESS CAPABILITY: A REFERENCE HANDBOOK,BOTHE R. DAVIS,TS 176 B749
51351,1,ADMINISTRACION,ROBBINS STEPHEN P.,HD 31 R636
51350,1,CONTROL ESTADiSTICO DE CALIDAD Y SEIS SIGMA,"GUTIERREZ PULIDO, HUMBERTO",TS 156 G983
530,1,COMO... OPTIMIZAR NUESTRO BIENESTAR Y AHORRAR ENER,"PERALES BENITO, TOMAS",TH 4812 P426
